Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,124.27999877929688,67637100
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,125.05999755859375,125.05999755859375,59278900
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.54000091552734,123.54000091552734,76229200
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,125.88999938964844,75169300
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,125.9000015258789,125.9000015258789,71057600
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376953,126.73999786376953,74403800
2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341797,127.12999725341797,56877900
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,126.11000061035156,126.11000061035156,71186400
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,127.3499984741211,127.3499984741211,53522400
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,130.47999572753906,96906500
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,129.63999938964844,62746300
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,130.14999389648438,91815000
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,131.7899932861328,131.7899932861328,96721700
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,130.4600067138672,130.4600067138672,108787300
