Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,55.34000015258789,55.650001525878906,55.099998474121094,55.279998779296875,54.8665771484375,13304000
2021-06-02,55.5,55.560001373291016,55.2599983215332,55.5,55.08493423461914,11328500
2021-06-03,55.18000030517578,55.7400016784668,55.099998474121094,55.63999938964844,55.2238883972168,17364300
2021-06-04,55.900001525878906,56.47999954223633,55.779998779296875,56.2400016784668,55.819400787353516,18935100
2021-06-07,56.310001373291016,56.34000015258789,55.810001373291016,56.040000915527344,55.62089538574219,14010800
2021-06-08,56.25,56.25,55.54999923706055,55.650001525878906,55.23381423950195,10968300
2021-06-09,55.75,55.91999816894531,55.47999954223633,55.47999954223633,55.06508255004883,9838800
2021-06-10,55.90999984741211,56.119998931884766,55.7599983215332,55.90999984741211,55.49186706542969,12444400
2021-06-11,55.9900016784668,56.209999084472656,55.65999984741211,56.15999984741211,55.73999786376953,11825800
2021-06-14,55.689998626708984,55.709999084472656,55.20000076293945,55.54999923706055,55.54999923706055,9710800
2021-06-15,55.779998779296875,55.790000915527344,55.189998626708984,55.40999984741211,55.40999984741211,11154200
2021-06-16,55.439998626708984,55.459999084472656,54.63999938964844,54.66999816894531,54.66999816894531,15211700
2021-06-17,54.66999816894531,55.150001525878906,54.650001525878906,54.95000076293945,54.95000076293945,10658400
2021-06-18,54.5099983215332,54.619998931884766,53.720001220703125,53.77000045776367,53.77000045776367,31442900
